Prueba,A,B,C,D,E,F,G,H,I,J,K,Conversion,Peso_molecular,Injerto
Exp1,50,5,5,0.08,0.08,QUI,AV,1,Baja,0.04,1,35.76,27.38,0.1178
Exp2,50,5,5,0.08,0.08,AL,HEMA,2,Alta,0.09,2,88.36,75.47,0.2851
Exp3,50,5,6,0.12,0.1,QUI,AV,1,Alta,0.09,2,54.57,59.66,0.0827
Exp4,50,7.5,5,0.12,0.1,QUI,HEMA,2,Baja,0.04,2,81.70,72.94,0.3195
Exp5,50,7.5,6,0.08,0.1,AL,AV,2,Baja,0.09,1,59.05,30.90,0.3592
Exp6,50,7.5,6,0.12,0.08,AL,HEMA,1,Alta,0.04,1,76.70,131.79,0.5264
Exp7,60,5,6,0.12,0.08,QUI,HEMA,2,Baja,0.09,1,76.52,62.20,0.2754
Exp8,60,5,6,0.08,0.1,AL,HEMA,1,Baja,0.04,2,86.88,77.74,0.3711
Exp9,60,5,5,0.12,0.1,AL,AV,2,Alta,0.04,1,61.78,18.53,0.1664
Exp10,60,7.5,6,0.08,0.08,QUI,AV,2,Alta,0.04,2,59.87,34.84,0.1012
Exp11,60,7.5,5,0.12,0.08,AL,AV,1,Baja,0.09,2,77.42,28.87,0.2526
Exp12,60,7.5,5,0.08,0.1,QUI,HEMA,1,Alta,0.09,1,80.75,94.77,0.3681
